y_test,y_pred
21,21.110891
21,21.09011
21,21.098885
15,15.179661
11,10.336014
21,20.974064
21,21.1263
15,12.487681
21,20.977028
7,7.9309216
9,8.48256
18,18.15771
21,21.076189
18,18.047031
14,14.041381
21,20.963371
21,20.993755
21,20.95826
15,14.873042
21,21.088772
21,20.856153
18,18.62249
21,20.993683
21,20.967602
18,18.238728
20,20.212757
21,20.985413
21,20.993896
18,17.973125
17,17.10041
14,13.573825
21,21.115902
21,20.948526
1,6.16388
19,19.034636
14,13.997558
21,20.99255
1,6.4787545
20,19.945414
21,21.078632
21,21.082422
21,20.959332
21,20.95829
21,20.995872
20,20.05833
21,20.998459
19,19.117947
12,11.8266535
18,18.078274
14,14.242593
21,20.96106
21,20.991528
20,19.823383
21,21.104454
13,12.224307
21,20.957912
18,18.140709
3,6.16388
18,18.123878
21,20.993896
18,18.511951
9,8.371456
21,20.998386
21,21.003979
17,17.31802
21,20.993713
15,14.992554
21,21.059591
20,19.839151
21,20.993792
21,21.098951
21,21.10495
21,20.957886
21,20.973785
19,19.174114
21,20.95992
21,20.965485
8,7.865054
21,20.959774
21,20.99985
21,21.118275
21,21.113937
17,16.842535
21,20.961424
21,20.993702
21,20.99059
19,19.002506
15,15.918992
21,20.99286
20,19.962807
21,20.966919
21,20.99364
21,21.073006
17,17.46135
17,17.67831
21,21.042976
21,20.968342
21,21.076595
18,18.124744
20,20.05
20,20.21894
7,7.7876644
21,21.109077
21,21.058624
21,21.026985
21,21.108595
0,8.314543
21,20.9546
21,21.0728
21,20.95664
21,20.965553
21,21.097874
8,7.865734
8,7.869395
21,21.020855
21,21.101978
21,21.001852
21,21.009853
20,19.919127
15,15.708135
21,20.983944
18,18.10048
19,18.952782
21,21.072376
21,20.985226
18,18.056316
16,13.358308
21,21.127274
21,21.013517
21,21.069374
21,21.06783
21,20.999172
18,18.465343
21,20.969738
18,18.18933
21,21.018856
21,21.09295
12,12.120935
15,15.009061
21,20.993858
21,20.985554
21,21.07603
21,21.08527
21,21.12525
14,13.449351
16,16.403399
18,18.15195
21,21.074108
21,20.98492
18,18.172113
10,8.890512
21,21.091793
15,15.134629
11,10.427243
21,20.984669
21,21.120491
12,11.41938
21,20.996422
18,18.203289
21,21.09241
21,21.13526
19,19.098455
18,18.112047
21,21.062511
13,12.164638
21,20.941126
21,21.094278
11,10.357869
21,20.979046
21,21.088835
18,18.120731
21,21.004112
21,21.125183
21,21.121914
14,13.448615
21,20.999634
20,20.036037
18,18.105118
12,10.915659
21,20.3606
18,18.023113
18,18.079601
21,21.065437
21,20.99381
18,18.091766
18,18.514404
21,21.094276
21,21.13074
18,18.058746
21,21.068272
21,21.005213
18,18.119896
20,19.997036
21,21.111763
21,20.986012
18,18.123268
15,14.609548
7,7.6850576
19,18.9486
2,6.176602
11,10.4295225
21,20.963358
18,18.230467
21,21.000526
21,20.993515
18,18.109676
20,19.924706
18,18.469696
21,20.993837
21,20.99886
15,14.797836
13,12.885756
21,20.95829
21,20.952517
21,20.905132
18,17.965076
21,20.993473
18,18.116241
21,20.961533
17,17.447475
21,20.95623
21,20.995636
17,17.17494
21,21.104822
21,20.96414
16,16.588118
21,20.989737
18,18.063164
18,18.070972
21,20.99364
17,17.102686
13,13.799115
7,7.018262
21,20.870134
19,18.894697
15,15.096343
17,17.291939
17,17.100101
15,14.821136
10,9.150534
21,21.10686
18,18.099281
15,15.074915
21,21.069464
21,21.078695
18,17.87989
12,11.269664
21,21.09612
20,19.969799
21,20.972975
21,21.135508
21,21.138334
9,10.141642
21,21.065596
21,21.091448
20,20.194202
18,18.169952
21,20.988247
13,12.358287
21,20.99262
21,20.993359
5,6.226543
21,20.949144
18,18.085133
20,20.120716
21,21.106834
7,7.7484264
21,21.083796
21,20.996155
18,17.910892
18,18.10026
21,20.993908
21,21.094046
15,15.2321825
18,18.07292
17,17.101044
13,12.230219
21,20.960682
21,21.03807
21,21.094093
13,13.205979
2,6.16388
6,6.4776525
18,18.181849
21,20.893318
21,20.998098
12,11.270457
21,21.11192
21,20.945946
18,18.423887
21,20.992018
20,20.004604
13,14.020477
21,20.958935
21,20.966993
17,17.097586
14,14.785681
21,21.00398
21,20.77623
21,20.997496
21,21.107738
9,10.559286
20,19.949394
6,8.900498
17,17.202911
21,20.989704
20,20.20808
15,14.532195
21,21.10221
18,18.079681
20,20.191679
21,20.97447
17,17.097702
21,20.993795
20,19.957973
21,21.102314
15,15.238091
21,20.990973
21,21.061039
21,20.961952
21,20.968988
21,21.122898
21,20.988281
21,21.075493
21,21.004616
18,18.1153
20,20.009518
15,12.786805
14,13.9601965
21,21.115631
18,18.191603
3,6.891335
21,21.105568
21,21.113396
19,19.09657
21,20.97728
21,20.993435
15,14.914879
21,21.105785
14,13.505412
15,16.156195
15,15.284727
21,20.981102
18,18.067705
11,10.7068205
16,16.198267
11,9.91051
19,19.176592
18,18.195847
18,18.097563
20,19.96463
21,21.081123
17,17.654501
21,21.001738
21,20.983353
17,17.683693
21,20.993328
18,18.07774
17,17.102686
18,18.174105
21,20.959366
21,21.007854
21,21.065033
21,20.979446
21,20.99387
21,21.048262
17,17.098248
17,17.289446
21,21.001255
15,15.713684
21,21.07082
21,21.11134
11,10.694653
21,20.900015
21,20.994198
21,21.067463
16,13.353005
15,15.266635
18,18.082977
19,18.771572
21,21.00135
12,11.458835
21,21.075653
19,19.606762
20,19.459396
18,18.081059
21,21.138905
21,21.037895
20,19.98139
17,17.337296
15,15.080592
21,20.98997
21,21.131361
18,18.10254
21,21.002201
21,20.95974
18,17.956755
21,20.99545
21,20.960659
17,17.09838
21,21.084278
21,20.993683
4,8.018713
17,17.494125
21,20.960606
21,21.057253
21,21.000486
0,6.16388
18,18.1297
21,21.081299
21,21.00162
18,18.059738
17,17.099989
20,20.187054
21,20.993858
21,20.957848
16,16.548504
19,18.95715
16,16.958214
21,21.052546
20,19.981441
21,20.95953
21,20.9606
21,21.068626
18,17.908154
8,7.774232
13,14.265534
3,6.241815
21,21.115707
9,8.804568
19,19.037735
21,20.97982
11,10.378779
5,6.902803
15,15.743482
21,20.962065
21,20.993763
20,20.210667
20,19.750528
17,17.704382
21,20.99379
21,20.978237
21,20.958187
21,20.976221
21,21.005924
21,20.96787
21,21.027584
21,20.958567
0,6.16388
18,18.009293
10,9.874245
14,13.351458
21,21.107418
2,6.1952252
21,21.053059
21,20.960438
20,20.220411
18,18.177973
16,16.737564
18,18.129015
21,20.971807
18,18.137566
21,20.954016
21,20.956726
21,21.051346
20,20.220768
21,20.993248
21,20.9724
21,20.955343
17,17.199112
21,21.1138
17,17.37368
17,17.690327
15,15.16422
21,20.992617
21,20.977783
4,6.2299247
17,17.097874
18,18.143711
21,21.044659
21,20.954243
18,18.136915
7,7.2138824
21,20.993828
21,21.10801
16,16.228483
17,17.389896
18,17.799885
9,8.526506
18,18.090029
21,20.957603
21,20.976742
20,20.193893
18,18.601751
20,20.20092
1,6.220011
15,15.194161
18,18.074839
18,18.08834
18,18.1363
20,20.013004
21,21.083652
18,18.191229
18,18.120832
